event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_size,roi_v_size,roi_uv_size_sum,roi_2d_size,roi_max_width,ML_success,CURRENT_success
998,2730.0,2880.0,1970.0,2182.0,151.0,213.0,364.0,32163.0,213.0,False,False
1000,2034.0,2184.0,1534.0,1746.0,151.0,213.0,364.0,32163.0,213.0,True,True
1002,2645.0,2795.0,1811.0,2023.0,151.0,213.0,364.0,32163.0,213.0,True,True
1005,1631.0,1781.0,1641.0,1853.0,151.0,213.0,364.0,32163.0,213.0,True,True
1010,2403.0,2553.0,1972.0,2184.0,151.0,213.0,364.0,32163.0,213.0,True,True
1027,736.0,886.0,732.0,944.0,151.0,213.0,364.0,32163.0,213.0,False,False
1033,3279.0,3429.0,2544.0,2756.0,151.0,213.0,364.0,32163.0,213.0,False,True
1041,2721.0,2871.0,2490.0,2702.0,151.0,213.0,364.0,32163.0,213.0,True,True
1043,2402.0,2552.0,2148.0,2360.0,151.0,213.0,364.0,32163.0,213.0,True,True
1045,2512.0,2662.0,2073.0,2285.0,151.0,213.0,364.0,32163.0,213.0,False,False
1047,413.0,758.0,574.0,1212.0,346.0,639.0,985.0,221094.0,639.0,True,False
1050,2702.0,2852.0,2347.0,2559.0,151.0,213.0,364.0,32163.0,213.0,False,True
1052,1663.0,1867.0,1181.0,1747.0,205.0,567.0,772.0,116235.0,567.0,True,False
1057,451.0,826.0,72.0,793.0,376.0,722.0,1098.0,271472.0,722.0,True,True
1060,1207.0,1357.0,1340.0,1553.0,151.0,214.0,365.0,32314.0,214.0,True,True
1061,2588.0,2738.0,2009.0,2222.0,151.0,214.0,365.0,32314.0,214.0,True,True
1063,2605.0,2755.0,2130.0,2342.0,151.0,213.0,364.0,32163.0,213.0,False,False
1069,2565.0,2715.0,2109.0,2322.0,151.0,214.0,365.0,32314.0,214.0,True,False
1071,2327.0,2513.0,1611.0,2115.0,187.0,505.0,692.0,94435.0,505.0,True,True
1072,974.0,1124.0,652.0,864.0,151.0,213.0,364.0,32163.0,213.0,True,False
1078,730.0,880.0,861.0,1073.0,151.0,213.0,364.0,32163.0,213.0,False,False
1079,3037.0,3187.0,2573.0,2785.0,151.0,213.0,364.0,32163.0,213.0,False,False
1080,2802.0,3061.0,1864.0,2326.0,260.0,463.0,723.0,120380.0,463.0,False,True
1085,2289.0,2439.0,1804.0,2017.0,151.0,214.0,365.0,32314.0,214.0,False,False
1086,1143.0,1409.0,932.0,1529.0,267.0,598.0,865.0,159666.0,598.0,True,True
