event_id blob_id cy cx iy ix y_strip x_strip area real_area
236 1 47.500000 33.000000 48 33 1891 1989 6 6
236 2 64.500000 33.000000 64 33 1934 1989 6 6
237 0 67.000000 37.000000 67 37 1703 2493 1 1
238 0 73.000000 1.000000 73 1 2539 3113 9 9
239 0 2.000000 55.500000 2 56 2363 3233 10 10
240 0 92.300000 13.785714 92 14 2063 2837 70 70
241 0 4.333333 44.666667 4 45 2566 3167 3 3
241 1 94.500000 68.500000 94 68 2713 3204 2 2
242 0 40.000000 13.000000 40 13 987 1359 9 9
243 0 50.500000 63.500000 50 64 1829 2355 4 4
243 1 51.000000 45.000000 51 45 1830 2333 1 1
244 0 46.500000 60.000000 46 60 2915 3691 6 6
245 0 62.500000 52.000000 62 52 2397 2621 10 10
246 0 86.500000 33.000000 86 33 1864 2113 12 12
247 0 85.500000 45.500000 86 46 1117 853 4 4
247 1 90.500000 45.500000 90 46 1121 853 2 2
248 0 68.500000 31.000000 68 31 1174 1668 12 12
249 0 38.000000 32.500000 38 32 2805 3469 20 20
250 0 45.402778 73.319444 45 73 1213 1113 72 72
251 0 14.428571 23.714286 14 24 2328 2591 7 7
251 1 15.000000 19.000000 15 19 2329 2586 1 1
251 2 15.000000 53.000000 15 53 2329 2620 1 1
251 3 35.000000 23.000000 35 23 2349 2590 1 1
251 4 35.000000 25.000000 35 25 2349 2592 1 1
251 5 35.500000 48.500000 36 48 2350 2615 2 2
251 6 35.000000 53.000000 35 53 2349 2620 1 1
251 7 80.750000 24.000000 81 24 2396 2591 4 4
251 8 90.000000 24.000000 90 24 2406 2591 1 1
252 0 9.500000 6.000000 10 6 2071 2533 2 2
252 1 65.000000 15.000000 65 15 2164 2585 1 1
253 0 44.500000 8.500000 44 8 1470 1911 2 2
253 1 45.590909 26.272727 46 26 1472 1965 22 22
255 0 66.500000 31.500000 66 32 1895 2450 8 8
256 0 57.909091 37.363636 58 37 2747 3265 11 11
256 1 58.000000 48.000000 58 48 2747 3276 1 1
257 0 70.000000 12.000000 70 12 1569 2003 9 9
258 0 76.000000 34.000000 76 34 2325 2866 35 35
259 0 60.500000 15.000000 60 15 2959 3291 12 12
260 0 55.000000 38.500000 55 38 2426 2583 12 12
261 0 12.000000 18.500000 12 18 1345 1757 12 12
261 1 70.333333 18.666667 70 19 1404 1758 3 3
261 2 81.000000 18.500000 81 18 1430 1757 12 12
261 3 86.500000 18.500000 86 18 1440 1757 2 2
261 4 118.500000 18.500000 118 18 1478 1757 2 2
262 0 57.000000 55.500000 57 56 923 560 4 4
263 0 18.125000 1.125000 18 1 2851 3565 8 8
263 1 18.000000 6.500000 18 6 2851 3586 6 6
264 0 76.000000 38.000000 76 38 2035 2446 15 15
265 0 18.000000 17.500000 18 18 2693 2973 12 12
267 0 1.000000 47.000000 1 47 2733 3440 1 1
267 1 59.661765 39.308824 60 39 2814 3408 68 68
268 0 34.000000 36.000000 34 36 1818 1908 1 1
268 1 54.388889 35.888889 54 36 1843 1908 72 72
269 0 25.714286 11.000000 26 11 1225 1240 7 7
270 0 32.500000 40.500000 32 40 1137 703 16 16
271 0 20.000000 38.000000 20 38 2219 2423 1 1
271 1 79.511628 43.883721 80 44 2303 2429 43 43
271 2 109.500000 31.000000 110 31 2334 2413 2 2
271 3 115.800000 38.400000 116 38 2340 2423 5 5
271 4 123.000000 31.000000 123 31 2351 2413 1 1
