event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
178 28 66 3489.00000000 3639.00000000 2941.00000000 3153.00000000 150.00000000 212.00000000
179 22 15 3512.00000000 3662.00000000 3008.00000000 3220.00000000 150.00000000 212.00000000
180 71 25 1097.00000000 1247.00000000 1057.00000000 1269.00000000 150.00000000 212.00000000
181 58 52 2835.00000000 2985.00000000 2570.00000000 2782.00000000 150.00000000 212.00000000
182 80 63 1062.00000000 1212.00000000 1173.00000000 1385.00000000 150.00000000 212.00000000
183 54 108 351.00000000 715.00000000 374.00000000 1044.00000000 364.00000000 670.00000000
184 33 119 775.00000000 925.00000000 841.00000000 1053.00000000 150.00000000 212.00000000
185 70 41 997.00000000 1147.00000000 723.00000000 935.00000000 150.00000000 212.00000000
186 84 117 2374.00000000 2524.00000000 1918.00000000 2131.00000000 150.00000000 213.00000000
187 82 204 1420.00000000 1640.00000000 1452.00000000 1977.00000000 220.00000000 525.00000000
188 36 70 2271.00000000 2421.00000000 1924.00000000 2136.00000000 150.00000000 212.00000000
189 50 96 1760.00000000 1910.00000000 1822.00000000 2035.00000000 150.00000000 213.00000000
190 51 98 1593.00000000 1743.00000000 1257.00000000 1469.00000000 150.00000000 212.00000000
191 29 111 1780.00000000 1930.00000000 1351.00000000 1563.00000000 150.00000000 212.00000000
192 41 101 2246.00000000 2396.00000000 1616.00000000 1828.00000000 150.00000000 212.00000000
193 77 136 2744.00000000 2989.00000000 2488.00000000 2884.00000000 245.00000000 396.00000000
194 84 79 2360.00000000 2510.00000000 1660.00000000 1873.00000000 150.00000000 213.00000000
195 85 197 605.00000000 946.00000000 420.00000000 1088.00000000 341.00000000 668.00000000
196 46 77 2276.00000000 2426.00000000 2024.00000000 2236.00000000 150.00000000 212.00000000
197 95 73 1044.00000000 1194.00000000 1041.00000000 1253.00000000 150.00000000 212.00000000
198 89 231 722.00000000 1047.00000000 505.00000000 1162.00000000 325.00000000 657.00000000
